;glcID;gbifID;observer;datasetName;date;dayOfYear;year;lon;lat;x_EPSG3035;y_EPSG3035;geoUncertaintyInM;speciesId;patchID;timeSerieID
74594;5688737;;;CBNMed;1587938400;118;2020;6.48976;43.1676;4034867.0;2235568.0;10.0;1275;116777;3989658
18728;5428384;;;CBNMed;1635372000;301;2021;5.00745;43.3757;3915649.0;2265420.0;10.0;8196;73073;3995315
20378;5211380;3473135737.0;(IGN);Inventaire forestier IGN;2017-06-13;164;2017;4.58967;47.97999;3917292.0;2777720.0;1.0;24;3015547;3982148
62246;5197002;2907258294.0;Glashier, H. Helen;Nat. plant monitoring UK;2020-08-09;222;2020;0.387096;51.86042;3660971.0;3238071.0;7.1;5763;3010000;4002366
56540;5274897;3474505524.0;(IGN);Inventaire forestier IGN;2017-07-18;199;2017;6.24455;44.26174;4020620.0;2357687.0;1.0;8987;3017647;3995915
28898;5328466;;;CBNMed;1588802400;128;2020;6.48026;43.1679;4034095.0;2235637.0;10.0;4885;116489;3993654
66282;5441480;;;CBNMed;1625004000;181;2021;6.505798;43.27089;4036673.0;2246941.0;5.0;3212;117232;3988488
72675;5385964;;;CBNMed;1556748000;122;2019;6.60059;43.2166;4044125.0;2240577.0;10.0;1253;119101;3989656
278;5301991;3474023191.0;(IGN);Inventaire forestier IGN;2017-07-27;208;2017;2.72003;45.08634;3747928.0;2469586.0;1.0;6574;3013532;3981376
12532;5383843;;;CBNMed;1555624800;109;2019;6.621721;43.16376;4045598.0;2234650.0;10.0;6080;119627;4001021
58608;5040215;2907342786.0;"Newlands, C. Colin;Perry, J. John;Hamnett, J. Jon;Beck, H. Howard;Andrews, K. Kay";Nat. plant monitoring UK;2019-07-12;193;2019;-2.347794;54.156586;3518696.1974388;3518703.143745;7.1;7246;3003975;3988247
31855;5208090;2907365886.0;Walker, K. Kevin;Nat. plant monitoring UK;2019-07-17;198;2019;-1.983655;54.16032;3542170.0;3515127.0;7.1;9212;3004770;3991909
73354;5582928;;;CBNMed;1634767200;294;2021;5.24281;43.4829;3935436.0;2276040.0;10.0;4836;80818;3995326
79968;5434104;;;CBNMed;1588111200;120;2020;6.50692;43.1582;4036219.0;2234462.0;10.0;837;117271;3998908
59926;5258615;3474277640.0;(IGN);Inventaire forestier IGN;2018-01-31;31;2018;9.17746;41.97112;4252574.0;2096774.0;1.0;95;3018816;3993716
82639;5269498;2907293945.0;Leslie, J. Judy;Nat. plant monitoring UK;2018-10-04;277;2018;-2.589494;57.22593;3564266.0;3858288.0;7.1;1849;3003580;4000309
18722;5641666;;;CBNMed;1585951200;95;2020;6.1098;43.1017;4003571.0;2229799.0;10.0;8196;106160;3990951
5621;5384426;;;CBNMed;1492639200;110;2017;6.098364;43.03219;4002264.0;2222155.0;10.0;4062;105724;3994437
34781;4995207;3437495603.0;Thomson, I. Ian;Nat. plant monitoring UK;2021-06-16;167;2021;-0.882511;50.80181;3557058.11303649;3133656.44724606;7.1;515;3007478;4004174
64493;5124161;3437485790.0;Wellings, C. Catherine;Nat. plant monitoring UK;2021-09-14;257;2021;-2.783834;52.53986;3458778.0;3346132.0;7.1;9906;3003282;4003808
58910;5241786;3475360257.0;(IGN);Inventaire forestier IGN;2018-09-25;268;2018;2.5687;45.33864;3738716.0;2498648.0;1.0;3968;3013325;3981763
58625;5301384;3473719737.0;(IGN);Inventaire forestier IGN;2019-10-15;288;2019;5.56226;44.15801;3965469.0;2349187.0;1.0;6407;3016674;3984091
33947;5074521;3474672617.0;(IGN);Inventaire forestier IGN;2018-12-18;352;2018;2.12314;48.41509;3738942.56525542;2842401.29930189;1.0;9329;3012720;4001995
2776;5244428;3475588135.0;(IGN);Inventaire forestier IGN;2018-06-13;164;2018;6.61739;47.52703;4066202.0;2718425.0;1.0;6049;3018062;3982379
2016;5367557;;;CBNMed;1566856800;239;2019;6.96702;43.9054;4076854.0;2315586.0;10.0;3072;127002;3987086
11631;5329017;;;CBNMed;1559599200;155;2019;7.203164;44.05559;4096440.0;2331487.0;10.0;2557;129287;3980472
38713;5129026;2907251353.0;Huntingford, T. Tryphena;Nat. plant monitoring UK;2017-09-16;259;2017;-3.322338;51.01378;3392027.0;3185261.0;7.1;8935;3002106;3986382
34456;5251694;3475537210.0;(IGN);Inventaire forestier IGN;2018-06-28;179;2018;4.5789;48.98746;3924526.0;2889520.0;1.0;515;3015532;3985494
1972;5111951;3469570301.0;"Parry, D. Dawn;Drewett, D. David";Nat. plant monitoring UK;2021-05-22;142;2021;-3.016647;52.25202;3437538.0;3317330.0;7.1;4941;3002773;3987018
47064;5012359;3475636352.0;(IGN);Inventaire forestier IGN;2018-08-20;232;2018;4.71787;47.25758;3921278.49150128;2696923.14377886;1.0;801;3015675;3983257
6421;5344929;;;CBNMed;1524175200;110;2018;6.136509;43.03288;4005380.0;2222070.0;10.0;4904;107223;3993084
17606;5413056;;;CBNMed;1620165600;125;2021;6.147217;43.14209;4006836.0;2234112.0;5.0;9994;107646;3999234
47307;5007306;3474645568.0;(IGN);Inventaire forestier IGN;2018-11-27;331;2018;1.89033;47.2093;3707547.09463436;2710921.86581562;1.0;801;3012387;3981509
3251;5431783;;;CBNMed;1623103200;159;2021;6.446452;43.27033;4031845.0;2247105.0;5.0;6705;115318;3990104
75491;5642452;;;CBNMed;1622498400;152;2021;6.456861;43.27054;4032693.0;2247089.0;5.0;9753;115680;3994943
69165;5163318;2907285929.0;Dixon, C. Christopher;Nat. plant monitoring UK;2018-06-26;177;2018;-1.212724;51.80742;3551153.0;3247931.0;10.0;4284;3006640;3985609
3735;5363394;;;CBNMed;1555020000;102;2019;6.668062;43.20431;4049559.0;2238970.0;10.0;6501;121271;3989750
31108;5302313;3475663001.0;(IGN);Inventaire forestier IGN;2017-10-17;290;2017;6.42069;47.39001;4050685.0;2703912.0;1.0;5314;3017853;3981475
57616;5148650;2907381723.0;Jackson, S. Steven;Nat. plant monitoring UK;2019-08-20;232;2019;-1.321059;50.81768;3526822.0;3140082.0;7.1;4634;3006392;3996055
83390;5235491;3323748307.0;Glashier, H. Helen;Nat. plant monitoring UK;2021-06-10;161;2021;0.381728;51.86053;3660606.0;3238132.0;7.1;8965;3009973;4004263
23579;5065231;3473068564.0;(IGN);Inventaire forestier IGN;2017-02-16;47;2017;-1.40339;48.22997;3477273.22991523;2856072.04287596;1.0;5959;3006266;3980531
81821;5009599;2907258287.0;"Burton, V. Victoria;Beech, A. Andrew";Nat. plant monitoring UK;2020-06-08;160;2020;-1.021484;50.840468;3548028.97125311;3139378.36223553;7.1;6837;3007106;4003231
12966;5267336;2907285849.0;Fiona Smith  Chris Taylor;Nat. plant monitoring UK;2017-09-07;250;2017;-3.227339;56.87705;3519037.0;3826999.0;7.1;7795;3002254;3996485
44488;5170849;2907361774.0;Huntingford, T. Tryphena;Nat. plant monitoring UK;2017-06-20;171;2017;-3.319727;51.01295;3392190.0;3185137.0;10.0;419;3002115;4006313
8218;5200383;2907356151.0;"Burton, V. Victoria;Beech, A. Andrew";Nat. plant monitoring UK;2018-09-01;244;2018;-1.021293;50.83839;3548008.0;3139147.0;10.0;7743;3007109;3987494
81555;5157677;2907397913.0;Minns, A. Alison;Nat. plant monitoring UK;2018-04-15;105;2018;-0.41187;50.92073;3591699.0;3141959.0;7.1;6837;3008574;3989506
26029;5076892;3474339040.0;(IGN);Inventaire forestier IGN;2017-09-20;263;2017;4.86684;48.72993;3943591.05722572;2859436.51165829;1.0;2231;3015854;3995946
6403;5485918;;;CBNMed;1554760800;99;2019;6.608378;43.1711;4044545.0;2235511.0;10.0;4904;119273;3995414
63847;5384591;;;CBNMed;1524175200;110;2018;6.136872;43.03256;4005408.0;2222034.0;0.0;265;107236;3993087
76856;5254318;3353706449.0;Minns, A. Alison;Nat. plant monitoring UK;2021-08-22;234;2021;-0.416705;50.92079;3591364.0;3142014.0;7.1;5154;3008550;3989498
35346;5268644;3475010100.0;(IGN);Inventaire forestier IGN;2018-06-25;176;2018;4.90482;47.84753;3939777.0;2761356.0;1.0;5727;3015903;3982298
29542;5092546;3473284013.0;(IGN);Inventaire forestier IGN;2019-08-26;238;2019;5.5999;48.71204;3997293.0;2853964.0;1.0;254;3016723;3984179
12668;5659798;;;CBNMed;1623708000;166;2021;7.108646;43.78167;4087749.0;2301428.0;6.0;5213;128554;3983117
73768;5113307;3474552900.0;(IGN);Inventaire forestier IGN;2018-03-26;85;2018;9.27752;42.00059;4260926.0;2099950.0;1.0;7256;3018840;3989756
73827;5142839;3473090865.0;(IGN);Inventaire forestier IGN;2017-10-23;296;2017;4.4285;45.26526;3883500.0;2477809.0;1.0;1059;3015381;3980767
68091;5029982;3474169076.0;(IGN);Inventaire forestier IGN;2018-11-16;320;2018;1.42811;44.88537;3644267.7249231;2458206.46699583;1.0;7426;3011728;3999106
82394;5293592;2907269835.0;Mckail, D. Deborah;Nat. plant monitoring UK;2019-08-24;236;2019;-0.561945;50.91233;3581137.0;3142542.0;7.1;6837;3008142;3995796
8765;5079837;3473843834.0;(IGN);Inventaire forestier IGN;2019-05-28;148;2019;0.74521;45.75942;3602126.79795225;2561058.01062706;1.0;8079;3010621;3998267
21366;5088262;3473889139.0;(IGN);Inventaire forestier IGN;2017-08-24;236;2017;-0.12799;43.44032;3501749.0;2314485.0;1.0;386;3009169;3995965
51440;5336807;;;CBNMed;1559599200;155;2019;7.160314;44.05445;4092997.0;2331490.0;0.0;4669;129117;3980658
6587;5113375;3473487757.0;(IGN);Inventaire forestier IGN;2017-02-13;44;2017;8.6726;42.43501;4211421.0;2148715.0;1.0;9078;3018739;3993665
41977;5323697;;;CBNA;1534975200;235;2018;6.48364;45.89891;4047876.0;2538239.0;10.0;2291;116567;3989218
35355;5049269;3476317956.0;(IGN);Inventaire forestier IGN;2019-08-29;241;2019;1.80318;42.7125;3648933.20390177;2215119.31526121;1.0;5727;3012255;3981651
35323;5092205;2907292345.0;Pratt, P. Phillip;Nat. plant monitoring UK;2019-07-08;189;2019;-0.87184;51.66406;3571983.0;3228581.0;7.1;5727;3007492;4001698
62784;5689400;;;CBNMed;1623362400;162;2021;7.012815;43.86803;4080383.0;2311298.0;5.0;3069;127450;3987512
1084;5135977;3475459486.0;(IGN);Inventaire forestier IGN;2019-09-19;262;2019;5.05268;44.47779;3926927.0;2387146.0;1.0;2834;3016078;3984535
8731;5073340;3473308447.0;(IGN);Inventaire forestier IGN;2019-09-17;260;2019;2.2376;45.03298;3709517.193898;2467519.49485605;1.0;8079;3012891;3997368
52192;5133434;2907242879.0;Jackson, S. Steven;Nat. plant monitoring UK;2018-07-10;191;2018;-1.348193;50.81622;3524911.0;3140216.0;7.1;8183;3006350;3988291
71876;5003183;3475562881.0;(IGN);Inventaire forestier IGN;2018-05-30;150;2018;2.36569;47.42605;3745756.85237705;2731076.4549057;1.0;4743;3013076;3996659
70195;4992430;3473421926.0;(IGN);Inventaire forestier IGN;2019-02-13;44;2019;4.94592;47.05464;3937017.72759936;2673216.87985256;1.0;4284;3015961;4001790
7084;5213845;3473883378.0;(IGN);Inventaire forestier IGN;2018-05-29;149;2018;2.55132;47.44385;3759882.0;2731620.0;1.0;1769;3013300;3987616
80909;5029335;3475303650.0;(IGN);Inventaire forestier IGN;2018-03-16;75;2018;0.46685;47.89678;3610031.43062509;2799628.20731243;1.0;665;3010143;3997977
37588;5125988;2907359053.0;mervyn needham;Nat. plant monitoring UK;2017-06-19;170;2017;-2.219961;52.38214;3493432.0;3322242.0;7.1;1662;3004195;3992533
80922;5272939;3437494372.0;Bosman, M. Marieke;Nat. plant monitoring UK;2021-08-13;225;2021;-0.539545;51.54791;3592830.0;3212408.0;7.1;665;3008237;3994072
1158;5448411;;;CBNMed;1622584800;153;2021;7.098092;43.78216;4086900.0;2301515.0;5.0;9286;128436;3984746
4189;5095500;3469583312.0;"Smith, F. Fiona;Rowe, H. Helen";Nat. plant monitoring UK;2021-09-07;250;2021;-3.111164;57.01505;3528883.0;3840823.0;7.1;2855;3002562;3991835
61802;5135120;3473469085.0;(IGN);Inventaire forestier IGN;2017-05-24;144;2017;9.0246;42.32326;4240328.0;2135900.0;1.0;5763;3018780;3984610
18772;5162372;3473337738.0;(IGN);Inventaire forestier IGN;2018-02-21;52;2018;6.34351;43.53804;4024834.0;2277145.0;1.0;8196;3017758;3993364
30496;5537346;;;CBNMed;1621202400;137;2021;6.487758;43.27309;4035217.0;2247253.0;5.0;826;116710;3989423
34260;5480324;;;CBNMed;1587592800;114;2020;6.50585;43.1806;4036241.0;2236945.0;10.0;7519;117237;3989655
2812;5094368;3473216494.0;(IGN);Inventaire forestier IGN;2017-09-21;264;2017;4.4871;45.46213;3889633.0;2499267.0;1.0;6049;3015445;3984205
81820;5040850;3323735378.0;Ward, C. Caroline;Nat. plant monitoring UK;2021-05-31;151;2021;-2.101363;54.011448;3531797.97816083;3500037.350955;7.1;6837;3004586;4004167
50655;5152034;3476078637.0;(IGN);Inventaire forestier IGN;2018-01-30;30;2018;-0.20126;45.09394;3519477.0;2497354.0;1.0;4288;3008997;3990058
65878;5176619;3474771034.0;(IGN);Inventaire forestier IGN;2019-10-10;283;2019;2.56736;45.0148;3735203.0;2462865.0;1.0;2098;3013324;3984836
84282;5362880;;;CBNMed;1559599200;155;2019;7.160314;44.05445;4092997.0;2331490.0;0.0;5501;129117;3980658
62793;5088550;2907307526.0;"Eagleson, M. Mary;Scott, R. Ro;Gilbert, D. Diana;Geddes, C. Claire;Brown, S. Sheila";Nat. plant monitoring UK;2017-05-28;148;2017;-4.090922;57.61637;3484147.0;3917792.0;10.0;3069;3000959;3988976
21040;5067349;3437548499.0;Bosman, M. Marieke;Nat. plant monitoring UK;2021-08-13;225;2021;-0.53909;51.553123;3592944.15658924;3212977.62258202;7.1;386;3008238;3985686
28307;5104383;3038474442.0;Minns, A. Alison;Nat. plant monitoring UK;2020-09-06;250;2020;-0.41187;50.92073;3591699.0;3141959.0;7.1;4377;3008576;3989466
60369;5071791;2907298970.0;Hall, R. Robert;Nat. plant monitoring UK;2018-06-26;177;2018;-1.983736;54.348876;3545688.12816441;3535859.5251954;7.1;4661;3004762;3997648
62919;5273020;3473955439.0;(IGN);Inventaire forestier IGN;2018-06-26;177;2018;4.07471;45.36132;3856592.0;2490584.0;1.0;3069;3015032;3994312
50709;5541618;;;CBNMed;1593554400;183;2020;6.563535;43.26497;4041339.0;2246069.0;4.0;4102;118391;3988366
10346;5132983;3476123373.0;(IGN);Inventaire forestier IGN;2019-02-14;45;2019;4.6393;47.88905;3920275.0;2767365.0;1.0;7648;3015590;3983684
43100;5093842;3474295035.0;(IGN);Inventaire forestier IGN;2018-06-14;165;2018;2.60355;47.28183;3762061.0;2713297.0;1.0;1005;3013362;3996605
72732;5478682;;;CBNMed;1489014000;68;2017;6.120231;43.03317;4004054.0;2222171.0;0.0;4307;106617;3989571
44676;5157944;3473096493.0;(IGN);Inventaire forestier IGN;2017-01-18;18;2017;5.88103;44.05812;3990401.0;2336666.0;1.0;5707;3017159;3984556
83409;5068864;3473845989.0;(IGN);Inventaire forestier IGN;2018-08-13;225;2018;5.36713;48.91609;3981589.52275648;2877661.3363611;1.0;8965;3016411;3984281
84146;5149269;3474066790.0;(IGN);Inventaire forestier IGN;2017-01-18;18;2017;6.28424;43.39625;4019307.0;2261683.0;1.0;5165;3017697;3995482
56669;5178016;2907376125.0;Smith, F. Fiona;Nat. plant monitoring UK;2018-09-06;249;2018;-3.108223;57.02136;3529190.0;3841482.0;7.1;8987;3002576;4000234
60168;5153968;3474891311.0;(IGN);Inventaire forestier IGN;2017-10-17;290;2017;0.96923;42.95658;3583946.0;2249838.0;1.0;303;3010962;3989380
51483;5603137;;;CBNMed;1594332000;192;2020;7.110672;43.77423;4087883.0;2300597.0;6.0;8226;128584;3983048
