"timeSerieID";"2000_1";"2000_2";"2000_3";"2000_4";"2001_1";"2001_2";"2001_3";"2001_4";"2002_1";"2002_2";"2002_3";"2002_4";"2003_1";"2003_2";"2003_3";"2003_4";"2004_1";"2004_2";"2004_3";"2004_4";"2005_1";"2005_2";"2005_3";"2005_4";"2006_1";"2006_2";"2006_3";"2006_4";"2007_1";"2007_2";"2007_3";"2007_4";"2008_1";"2008_2";"2008_3";"2008_4";"2009_1";"2009_2";"2009_3";"2009_4";"2010_1";"2010_2";"2010_3";"2010_4";"2011_1";"2011_2";"2011_3";"2011_4";"2012_1";"2012_2";"2012_3";"2012_4";"2013_1";"2013_2";"2013_3";"2013_4";"2014_1";"2014_2";"2014_3";"2014_4";"2015_1";"2015_2";"2015_3";"2015_4";"2016_1";"2016_2";"2016_3";"2016_4";"2017_1";"2017_2";"2017_3";"2017_4";"2018_1";"2018_2";"2018_3";"2018_4";"2019_1";"2019_2";"2019_3";"2019_4";"2020_1";"2020_2";"2020_3";"2020_4"
60987;34;37;34;54;45;43;46;52;51;45;52;55;42;53;51;50;42;44;47;49;42;43;48;46;38;41;45;49;39;40;45;47;38;47;48;50;41;46;48;50;42;50;51;54;39;43;52;50;45;48;51;52;40;46;54;48;39;49;53;47;38;47;53;51;40;44;48;50;"39";"44";"49";"44";"39";"50";"48";"48";"39";"46";"eos";"eos";"eos";"eos";"eos";"eos"
117891;35;14;27;21;35;19;30;21;22;24;28;21;10;18;32;21;10;18;30;21;10;15;28;21;6;20;32;20;12;17;32;18;15;17;30;18;14;23;37;18;14;23;29;18;15;10;30;18;16;14;28;19;19;11;28;20;19;15;28;23;19;13;28;20;16;15;25;26;"19";"9";"24";"22";"13";"25";"25";"17";"10";"17";"23";"eos";"eos";"eos";"eos";"eos"
186540;54;67;66;56;52;63;66;54;53;61;64;55;51;61;62;60;50;60;62;52;47;56;61;50;47;59;60;51;49;55;60;51;57;56;57;59;47;59;59;53;50;61;60;54;45;60;58;54;48;57;60;54;44;58;60;55;49;58;61;51;48;62;60;53;51;55;58;52;"48";"59";"59";"53";"47";"60";"57";"53";"47";"56";"59";"54";"48";"55";"58";"eos"
235479;52;54;49;41;57;55;59;60;45;54;59;54;52;53;44;55;50;54;57;55;60;53;58;52;52;60;52;48;52;59;56;61;59;48;55;66;52;51;53;51;52;52;53;53;54;52;54;57;56;56;62;55;56;54;51;55;53;56;54;44;56;53;52;56;59;57;49;54;"51";"51";"57";"58";"53";"54";"59";"53";"58";"55";"49";"55";"52";"53";"54";"eos"
237241;73;85;95;74;73;91;100;70;73;91;81;74;73;91;99;78;73;91;98;70;73;91;97;72;73;91;97;67;65;91;92;67;65;84;89;71;65;84;89;57;65;84;88;75;65;78;89;90;65;74;88;59;65;78;88;75;65;70;88;34;62;76;88;68;62;82;88;90;"59";"76";"86";"77";"60";"76";"90";"77";"59";"68";"84";"84";"58";"80";"84";"eos"
252016;19;34;39;34;27;32;40;36;27;34;45;26;30;34;34;34;28;33;34;36;28;34;34;26;28;34;33;43;25;28;33;36;25;34;31;28;25;26;31;32;20;31;28;26;18;29;30;26;16;29;29;25;14;29;33;25;18;31;26;23;24;27;27;25;24;31;27;30;"29";"28";"35";"31";"30";"29";"35";"22";"29";"30";"32";"25";"27";"27";"21";"eos"
264261;68;60;59;56;57;55;54;56;68;73;57;58;68;69;62;63;75;67;56;61;69;58;56;59;69;56;54;63;61;67;57;61;65;60;57;60;65;59;57;61;61;70;62;67;68;69;60;64;45;63;56;62;68;61;56;60;68;52;54;65;22;65;34;57;70;64;55;60;"64";"68";"63";"66";"54";"52";"55";"56";"64";"65";"eos";"eos";"eos";"eos";"eos";"eos"
341555;47;56;50;58;30;52;55;64;38;53;53;61;47;54;52;58;44;53;52;56;46;52;52;47;47;54;51;47;44;54;50;47;44;58;51;47;44;50;50;45;44;48;46;50;44;48;54;47;44;49;50;44;46;43;50;54;49;51;47;45;36;54;50;47;47;55;45;45;"47";"50";"47";"41";"44";"53";"46";"42";"48";"52";"47";"44";"46";"50";"eos";"eos"
349493;38;51;46;44;38;54;46;44;21;51;44;44;56;56;49;44;47;50;44;44;49;48;44;44;45;51;44;45;47;50;46;45;47;47;44;41;45;47;45;45;45;53;42;47;25;58;48;45;21;54;51;50;25;53;49;47;25;54;48;17;17;50;48;48;57;52;42;32;"41";"55";"50";"40";"34";"50";"44";"41";"40";"57";"45";"50";"39";"55";"45";"eos"
392951;41;48;40;35;41;47;40;35;41;47;40;35;40;40;40;35;40;47;40;39;40;42;40;39;40;48;40;43;40;47;38;43;40;53;44;39;40;44;40;55;42;43;40;43;42;43;40;37;44;43;40;35;44;43;40;32;42;41;40;38;45;55;40;40;45;45;39;40;"44";"44";"40";"48";"45";"45";"35";"41";"45";"45";"42";"39";"45";"39";"40";"38"
424284;52;59;55;47;46;63;52;52;51;56;56;43;50;57;45;51;51;56;52;48;52;60;48;41;51;52;54;55;55;53;54;46;51;63;61;54;22;54;54;52;51;53;56;48;49;60;56;49;45;48;55;55;42;57;60;54;55;59;54;47;49;51;53;53;47;57;60;53;"50";"56";"58";"51";"56";"60";"57";"51";"53";"68";"57";"49";"55";"70";"66";"50"
553600;41;48;36;38;42;41;36;37;41;47;33;37;37;44;40;29;40;46;37;39;38;49;39;42;38;44;33;39;39;47;37;39;39;44;38;35;39;44;37;39;39;45;39;38;36;41;43;34;32;45;39;41;33;42;38;34;33;46;40;32;32;45;37;33;36;45;37;32;"35";"47";"36";"35";"37";"49";"36";"36";"36";"43";"37";"eos";"eos";"eos";"eos";"eos"
563306;40;53;52;41;41;50;52;34;41;52;48;41;41;47;52;35;42;50;48;41;40;53;43;41;41;52;47;41;41;49;48;41;39;54;48;41;41;51;48;39;40;49;52;44;41;51;55;42;41;54;55;43;40;54;50;38;41;54;50;42;40;55;50;48;36;52;45;42;"40";"54";"51";"42";"40";"58";"55";"40";"39";"54";"47";"39";"46";"52";"56";"44"
563430;55;46;40;49;48;47;40;53;55;51;40;50;54;50;38;42;54;50;40;44;52;48;39;36;57;50;43;47;55;55;42;38;54;55;41;41;52;53;45;43;55;52;40;39;55;51;38;44;55;58;36;50;55;52;41;44;49;52;39;49;54;53;36;55;60;52;42;36;"56";"48";"40";"41";"37";"54";"38";"35";"51";"51";"43";"39";"56";"53";"41";"43"
576567;48;63;57;49;51;62;50;46;51;49;53;67;42;48;52;45;45;54;52;53;39;56;53;52;43;54;50;55;47;53;55;59;37;60;55;47;45;58;55;57;48;64;60;57;47;64;61;49;54;60;65;48;46;57;67;55;44;53;61;46;51;61;45;63;42;62;60;46;"50";"68";"50";"66";"47";"52";"61";"44";"47";"58";"61";"50";"43";"64";"60";"53"
703765;49;54;59;54;49;59;59;52;52;54;55;58;49;54;55;57;49;56;57;46;49;54;56;54;48;52;66;56;47;52;60;53;52;54;60;54;46;56;57;55;49;57;57;57;42;53;62;57;53;57;63;60;56;58;64;57;54;59;64;63;53;57;68;56;52;53;69;57;"53";"60";"71";"59";"55";"59";"64";"57";"52";"62";"66";"64";"eos";"eos";"eos";"eos"
728100;58;54;53;51;41;56;55;55;51;53;58;55;51;51;60;50;50;54;57;43;57;51;64;49;52;74;49;49;53;56;64;45;53;61;63;49;57;63;59;52;54;60;64;56;51;60;64;47;54;62;61;43;56;60;65;56;53;64;64;51;53;64;64;40;48;64;62;53;"43";"58";"61";"44";"54";"63";"64";"51";"51";"62";"60";"50";"55";"60";"58";"47"
883730;29;50;44;35;35;49;44;41;35;50;41;38;40;51;44;40;40;48;44;40;42;46;32;33;43;49;54;34;45;48;46;43;43;50;46;44;43;49;49;36;43;49;50;42;37;48;59;42;34;64;67;39;30;63;41;36;29;53;57;42;31;52;57;41;26;53;56;41;"33";"53";"56";"44";"25";"53";"44";"37";"eos";"eos";"eos";"eos";"eos";"eos";"eos";"eos"
931613;44;64;52;48;44;60;53;53;44;68;50;49;44;69;48;45;44;64;49;50;54;68;47;50;44;64;57;51;51;57;45;47;48;55;44;48;42;70;55;48;44;53;54;50;44;56;50;46;44;56;52;47;46;42;45;43;46;63;50;47;47;57;54;48;48;66;45;44;"42";"52";"49";"40";"49";"59";"51";"42";"42";"66";"54";"41";"42";"58";"52";"40"
952342;42;46;39;42;41;45;36;43;42;46;36;42;42;55;32;29;40;48;36;44;46;50;37;44;42;49;41;44;48;46;34;44;43;51;32;38;36;49;44;42;40;51;38;40;40;47;38;42;42;47;38;43;44;38;41;39;45;51;39;40;45;47;39;43;44;49;38;37;"43";"44";"33";"40";"40";"49";"36";"35";"33";"44";"30";"57";"40";"45";"37";"39"
993003;55;46;84;70;79;49;77;72;58;50;87;63;55;46;81;69;70;50;75;70;58;50;73;76;59;50;66;82;57;47;69;63;67;58;76;70;60;81;65;72;64;53;73;66;63;61;65;67;63;60;64;62;63;52;80;72;61;48;58;71;63;56;72;82;65;57;60;71;"53";"71";"69";"58";"64";"55";"82";"81";"58";"97";"66";"62";"67";"82";"eos";"eos"
1013223;38;39;29;25;42;40;38;35;37;33;28;30;26;43;28;28;32;39;30;33;34;43;32;32;30;34;33;37;36;38;27;33;32;40;28;33;28;41;35;28;38;41;32;39;29;40;30;32;29;41;33;38;30;42;34;33;29;42;27;24;30;42;29;32;37;40;66;48;"53";"67";"52";"35";"41";"64";"58";"37";"31";"55";"54";"35";"39";"50";"53";"37"
1013772;44;46;43;20;46;51;46;46;49;51;47;48;47;49;46;36;48;50;46;40;48;47;40;40;52;47;46;40;49;53;45;40;47;55;49;48;49;47;38;33;49;51;45;46;47;51;51;45;49;51;49;45;51;56;52;55;51;68;50;27;57;62;56;48;47;56;55;46;"51";"51";"57";"47";"52";"56";"49";"46";"50";"52";"47";"49";"48";"49";"eos";"eos"
1045961;49;57;46;48;50;50;45;48;43;51;45;53;50;51;43;45;52;51;44;47;38;51;43;48;44;50;44;46;44;54;46;47;43;54;48;30;44;53;44;48;44;52;49;47;44;50;46;45;45;48;43;41;46;47;47;47;46;51;53;51;53;51;41;50;54;47;47;44;"43";"55";"43";"43";"37";"54";"44";"40";"44";"49";"eos";"eos";"eos";"eos";"eos";"eos"
1101632;80;79;82;68;67;77;79;81;88;83;81;81;86;77;74;85;83;79;78;81;79;80;74;77;78;79;77;79;79;80;79;82;83;82;80;84;83;73;74;77;87;80;76;83;84;78;77;83;86;80;79;70;88;80;81;87;85;79;82;93;86;82;83;86;84;81;82;83;"83";"80";"83";"84";"87";"84";"81";"84";"87";"83";"78";"eos";"eos";"eos";"eos";"eos"
1115039;18;16;19;18;18;13;16;23;18;19;17;20;18;16;22;21;16;18;20;20;16;18;22;20;18;20;20;20;13;19;20;20;18;20;20;19;22;14;20;18;18;22;16;24;19;20;24;17;22;19;22;23;18;20;13;20;16;19;16;18;24;12;16;20;18;21;19;21;"16";"11";"15";"16";"15";"21";"7";"15";"24";"15";"12";"16";"21";"10";"eos";"eos"
1149079;32;41;37;35;38;37;37;35;36;40;38;35;38;38;40;36;41;38;38;35;34;38;38;35;38;38;37;37;39;40;39;35;36;38;40;35;36;40;39;38;37;38;40;39;35;39;38;36;33;38;36;36;34;37;37;35;35;39;38;36;33;36;37;36;34;37;37;43;"37";"39";"36";"33";"36";"42";"40";"36";"36";"41";"39";"37";"38";"40";"42";"38"
1323068;66;72;62;50;62;80;67;64;66;85;74;62;64;66;75;67;61;68;74;62;74;64;75;58;79;69;74;54;66;59;66;61;72;67;65;54;72;55;81;69;73;59;73;59;68;71;54;69;73;63;69;67;78;55;65;80;69;57;81;65;71;67;70;71;67;77;72;64;"77";"63";"76";"72";"69";"59";"75";"53";"79";"63";"76";"63";"59";"58";"75";"61"
1336150;12;34;31;29;18;33;30;25;18;34;32;33;14;35;29;28;18;32;30;30;7;29;29;15;14;31;27;30;17;32;34;30;12;35;33;28;13;34;28;20;16;35;31;30;13;34;30;25;10;23;32;28;12;37;31;25;18;32;32;20;11;35;31;24;17;35;32;22;"14";"31";"31";"19";"13";"37";"34";"29";"13";"33";"eos";"eos";"eos";"eos";"eos";"eos"
1394282;30;40;35;42;38;37;34;40;38;32;35;30;40;34;30;36;38;34;34;33;38;41;38;33;38;34;34;30;37;34;34;33;32;36;33;34;32;33;37;28;32;36;34;37;28;32;36;34;35;34;36;30;36;30;33;25;35;36;35;34;36;35;37;34;42;37;35;35;"39";"35";"34";"43";"40";"36";"28";"33";"43";"33";"33";"eos";"eos";"eos";"eos";"eos"
1650412;29;38;38;29;31;31;39;34;28;36;36;33;26;40;34;29;26;38;36;33;28;37;34;32;26;38;36;32;27;39;39;35;23;40;39;33;27;43;37;33;31;41;41;35;27;39;41;33;25;37;39;32;28;47;47;41;32;42;46;38;33;41;42;38;30;48;45;38;"28";"47";"43";"32";"29";"46";"43";"33";"29";"48";"41";"34";"26";"43";"38";"22"
1799714;46;46;45;45;46;46;47;42;46;44;40;45;46;38;38;38;99;48;47;81;99;68;96;82;99;87;87;81;99;93;90;81;99;100;95;81;82;92;90;79;82;99;87;79;67;92;93;77;65;62;91;77;67;86;99;74;69;100;97;72;69;87;88;92;73;105;92;72;"77";"91";"90";"77";"77";"83";"88";"82";"86";"84";"95";"77";"95";"105";"89";"82"
1817279;31;61;56;75;64;60;59;77;97;67;58;72;36;59;61;78;36;60;58;76;36;54;61;79;32;72;55;74;27;64;56;73;32;59;56;77;27;64;65;78;27;71;58;74;27;67;67;74;32;64;58;74;29;43;60;47;27;57;63;72;38;38;63;82;29;54;56;86;"18";"63";"66";"78";"50";"30";"64";"82";"30";"6";"65";"28";"32";"3";"55";"eos"
1823240;42;44;40;45;42;40;46;42;40;42;41;38;39;42;42;38;37;41;42;33;40;45;45;33;42;42;39;30;40;45;39;35;41;48;48;37;42;53;48;38;44;39;53;38;44;48;49;43;46;48;47;48;44;52;42;28;45;45;40;46;44;46;47;43;42;46;39;44;"42";"48";"41";"33";"41";"45";"44";"37";"40";"46";"42";"34";"40";"44";"46";"34"
1851955;21;49;30;38;21;36;34;29;21;48;47;33;21;43;39;26;21;41;36;33;21;36;36;36;21;43;35;40;21;37;36;39;22;49;42;39;22;46;44;39;22;40;43;39;22;43;36;32;22;40;42;40;26;38;41;35;22;30;44;31;26;39;39;35;31;41;43;35;"22";"43";"46";"44";"35";"38";"34";"32";"26";"35";"41";"32";"27";"39";"37";"31"
1951464;12;46;50;49;11;49;48;45;13;43;48;47;16;50;49;45;19;49;48;44;36;46;49;43;19;45;47;44;34;45;46;44;43;51;47;47;11;33;49;46;22;46;46;46;25;50;48;47;25;50;46;26;25;49;48;53;32;46;45;44;33;48;44;46;27;47;46;41;"35";"51";"47";"44";"44";"53";"46";"44";"28";"53";"43";"45";"28";"45";"44";"44"
2009916;31;39;32;22;31;40;34;30;33;37;34;27;34;30;29;24;34;38;34;30;34;40;34;31;34;38;34;29;35;39;34;30;27;40;37;29;27;43;34;30;27;38;33;30;27;37;37;29;27;38;30;30;27;39;37;38;27;39;36;37;30;35;37;37;30;37;35;32;"33";"35";"26";"37";"32";"38";"32";"29";"32";"36";"29";"30";"32";"34";"26";"30"
2137219;49;52;52;49;50;57;53;51;49;62;57;34;45;47;63;59;35;54;52;51;52;53;51;54;46;56;52;51;46;53;48;49;46;53;49;48;46;50;51;47;46;49;48;49;46;50;49;41;46;48;51;48;44;47;49;47;42;52;52;47;42;46;50;45;42;50;48;46;"36";"47";"51";"52";"44";"53";"42";"40";"40";"48";"45";"36";"40";"47";"47";"46"
2138905;38;55;49;48;10;69;65;55;38;53;51;48;39;48;48;47;40;54;52;48;36;52;53;46;40;54;52;44;45;55;52;51;40;54;53;46;44;53;51;44;42;50;52;47;42;53;53;45;37;46;53;50;44;54;53;46;45;53;54;49;44;55;51;49;48;57;53;49;"37";"53";"52";"49";"42";"52";"50";"41";"43";"53";"52";"45";"44";"52";"49";"eos"
2164564;47;52;57;58;46;55;52;57;45;54;55;54;41;55;51;51;46;54;54;51;44;53;53;49;46;55;54;51;49;51;55;49;47;53;56;49;49;55;51;51;49;54;52;49;51;54;53;51;48;52;52;53;47;54;54;52;48;55;52;54;43;54;55;41;46;47;52;55;"42";"53";"53";"55";"46";"56";"55";"55";"55";"54";"57";"eos";"eos";"eos";"eos";"eos"
2192247;25;22;19;27;25;23;33;28;25;24;20;27;25;24;21;25;26;24;22;26;25;26;22;25;28;26;22;30;30;25;24;34;30;29;25;34;49;26;24;34;49;27;26;34;49;28;22;34;49;26;24;29;49;26;24;34;49;26;24;35;49;26;22;37;49;27;27;35;"49";"26";"26";"34";"49";"28";"31";"35";"49";"42";"eos";"eos";"eos";"eos";"eos";"eos"
2200165;14;33;30;27;14;36;30;24;14;33;31;24;14;33;31;25;14;33;33;24;14;32;33;22;14;32;35;29;14;42;35;22;34;30;33;22;31;33;31;21;31;33;30;32;54;33;30;43;42;42;40;42;31;54;63;43;54;56;53;44;31;52;50;41;29;58;49;42;"40";"53";"50";"46";"31";"49";"40";"43";"38";"55";"50";"43";"48";"51";"47";"38"
2224883;54;62;45;44;45;57;59;48;45;48;49;52;45;48;53;47;44;50;50;48;44;52;47;44;44;45;50;50;40;51;51;45;35;47;46;46;36;44;49;46;36;43;48;44;37;47;44;44;40;38;57;46;40;40;49;46;42;50;47;46;40;48;51;46;40;60;50;37;"23";"51";"46";"41";"40";"44";"52";"40";"40";"52";"eos";"eos";"eos";"eos";"eos";"eos"
2230859;24;45;44;35;20;39;43;29;28;45;39;25;20;31;42;23;18;47;43;29;13;41;45;33;23;40;44;29;21;39;43;34;16;36;36;25;22;41;40;34;18;42;42;31;17;44;40;21;5;42;40;25;19;44;40;21;24;46;40;27;14;38;38;23;20;38;38;26;"15";"40";"37";"26";"15";"38";"39";"33";"20";"38";"37";"30";"12";"42";"eos";"eos"
2238498;50;57;49;59;50;58;49;56;54;53;56;53;47;61;51;56;48;56;51;53;49;53;51;47;48;58;52;42;47;54;48;56;49;57;48;51;56;55;59;51;50;49;50;52;50;53;57;52;50;53;50;52;50;48;44;48;49;57;48;54;49;58;56;56;49;52;62;46;"50";"51";"51";"51";"42";"55";"56";"57";"58";"59";"53";"54";"50";"60";"50";"54"
2271085;33;37;37;46;33;37;45;35;33;34;41;46;36;39;35;46;36;38;41;46;38;37;41;46;41;46;43;44;41;39;41;41;41;40;43;42;44;42;44;44;38;37;38;46;33;41;46;46;33;37;41;45;31;37;41;42;33;39;46;43;34;38;42;49;36;33;44;32;"43";"41";"40";"43";"34";"35";"32";"39";"42";"41";"32";"43";"40";"36";"34";"45"
2279229;78;95;86;60;78;105;73;60;72;85;73;60;73;85;64;61;74;85;66;62;72;85;66;64;70;77;73;62;70;77;63;65;68;73;68;72;67;74;74;61;67;55;53;68;65;70;68;61;65;69;63;57;65;64;66;64;65;78;61;54;65;76;63;53;65;75;71;51;"65";"75";"71";"55";"eos";"eos";"eos";"eos";"eos";"eos";"eos";"eos";"eos";"eos";"eos";"eos"
2292716;67;60;58;83;64;60;62;71;60;60;60;81;76;54;56;63;60;60;60;71;60;60;61;72;70;56;60;71;72;65;58;72;70;64;62;65;65;64;63;77;65;57;61;75;52;59;61;73;60;68;64;76;59;65;68;78;59;63;66;78;56;61;69;75;60;60;65;70;"54";"55";"64";"73";"57";"62";"71";"68";"63";"58";"62";"68";"57";"59";"eos";"eos"
